segmentid,index,ref,KO,SP,NOTE
S-SO-IC-01-0001,1,A',누가 은채가 책을 샀다고 생각해?,¿Quién cree que Eunchae ha comprado libros?,Wh island with canonical order
,,A,은채가 차를 샀다고 누가 생각해?,,
S-SO-IC-01-0002,2,A',하윤이는 유하가 무엇을 샀다고 말해?,¿Qué dice Hayun que Yuna compra?,Wh island with canonical order
,,A,유하가 무엇을 샀다고 하윤이는 말해?,,
S-SO-IC-01-0003,3,A',누가 설아가 차를 빌리는지 안빌리는지 궁금해해?,¿Quién quiere saber si Seolah alquila el coche o no?,Wh island with canonical order
,,A,설아가 차를 빌리는지 안빌리는지 누가 궁금해해?,,
S-SO-IC-01-0004,4,A',윤도는 연서가 무엇을 만드는지 안만드는지 궁금해해?,¿Yundo quiere saber si Yeonseo crea algo y qué?,Wh island with canonical order
,,A,연서가 무엇을 만드는지 안만드는지 윤도는 궁금해해?,,
S-SO-IC-01-0005,5,A',누가 이서가 집에 갔다고 주장하니?,¿Quién insiste en que ella se fue a casa?,Complex NP island with canonical order
,,A,이서가 그 집에 갔다고 누가 주장하니?,,
S-SO-IC-01-0006,6,A',지호는 유진이가 무엇을 말했다고 주장하니?,¿En qué dice Yujin que Jiho insiste?,Complex NP island with canonical order
,,A,유진이가 무엇을 말했다고 지호는 주장하니?,,
S-SO-IC-01-0007,7,A',누가 철수가 사기를 쳤다고 주장을 하니?,¿Quién insiste en que el chico hizo trampa?,Complex NP island with canonical order
,,A,철수가 사기를 쳤다는 주장을 누가 하니?,,
S-SO-IC-01-0008,8,A',영희는 철수가 무엇을 공부한다고 말하니?,¿Qué dice ella que Pedro estudia?,Complex NP island with canonical order
,,A,철수가 무엇을 공부한다고 영희는 말하니?,,
S-SO-IC-01-0009,9,A',누가 그 연설이 그 행사를 망쳤다고 생각하니?,¿Quién cree que ese discurso destruye la fiesta?,Subject island with canonical order
,,A,그 연설이 그 행사를 망쳤다고 누가 생각하니?,,
S-SO-IC-01-0010,10,A',석준이는 무엇이 그 경기를 방해했다고 생각하니?,¿Qué cree tu hermano que interrumpe ese partido?,Subject island with canonical order
